launch_power_dbm,Status_Ch1,Status_Ch2,Status_Ch3,Status_Ch4,Status_Ch5,Status_Ch6,Status_Ch7,Status_Ch8,Status_Ch9,Status_Ch10,Status_Ch11,Status_Ch12,Status_Ch13,Status_Ch14,Status_Ch15,Status_Ch16,Status_Ch17,Status_Ch18,Status_Ch19,Status_Ch20,Status_Ch21,Status_Ch22,Status_Ch23,Status_Ch24,Status_Ch25,Status_Ch26,Status_Ch27,Status_Ch28,Status_Ch29,Status_Ch30,Status_Ch31,Status_Ch32,Status_Ch33,Status_Ch34,Status_Ch35,Status_Ch36,Status_Ch37,Status_Ch38,Status_Ch39,Status_Ch40,snr_Ch1,snr_Ch2,snr_Ch3,snr_Ch4,snr_Ch5,snr_Ch6,snr_Ch7,snr_Ch8,snr_Ch9,snr_Ch10,snr_Ch11,snr_Ch12,snr_Ch13,snr_Ch14,snr_Ch15,snr_Ch16,snr_Ch17,snr_Ch18,snr_Ch19,snr_Ch20,snr_Ch21,snr_Ch22,snr_Ch23,snr_Ch24,snr_Ch25,snr_Ch26,snr_Ch27,snr_Ch28,snr_Ch29,snr_Ch30,snr_Ch31,snr_Ch32,snr_Ch33,snr_Ch34,snr_Ch35,snr_Ch36,snr_Ch37,snr_Ch38,snr_Ch39,snr_Ch40
8.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.323089624941472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.59173505904625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.598603533700167,0.0,0.0,0.0
9.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.075438116012435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.44286761829289,0.0,0.0,13.605841569287653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.651439799160308,0.0,0.0,0.0,0.0,0.0,14.821484630203873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.503485860608183,0.0,0.0,16.08435186050684,0.0
9.04,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,13.22687345018811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.026090705673974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.39644780047708,0.0,0.0,0.0,0.0,13.671122099912495,0.0,0.0,13.923309786437867,0.0,0.0,0.0,0.0,0.0
7.68,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.746880028980621,0.0,0.0,0.0,0.0,0.0,0.0,15.742714303216786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.980456170372616,0.0,0.0,0.0,16.151136225961118,0.0,16.264110120752704,0.0,0.0,16.49915931076603,0.0,0.0,0.0,0.0,0.0
8.92,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,13.597122936080607,13.471850143969316,13.392705968399088,0.0,13.301354460465886,0.0,0.0,0.0,0.0,0.0,13.254827919863864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4727640626739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.258652604261705,0.0,0.0,0.0,0.0
8.24,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.0,15.20817170811804,14.983699440959628,14.855108418551708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.63709503232673,0.0,0.0,0.0,0.0,14.738073994652245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.674104481834801,0.0,16.12195263538539,16.686276282540064
9.08,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,13.26955425939757,13.145151132442649,0.0,0.0,0.0,12.952225744601215,0.0,0.0,12.926323092231817,0.0,0.0,0.0,0.0,12.977146285798579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.235550857735214,13.276135218095613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.847997279148732,0.0,0.0,0.0,0.0,15.115480504595638
9.18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0.0,0.0,0.0,0.0,12.863036500411717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.799295240147991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.04244246183995,0.0,0.0,13.174589495051066,13.225141334476243,13.279880112215817,0.0,13.405593226673052,0.0,13.562930565471563,0.0,13.77032914954941,0.0,14.089093885406685,0.0,0.0
